fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
4, 17, 0.3741, 90.79%, 6.4082, 6.48%, 52.32s, 0.000222
4, 18, 0.3315, 91.76%, 6.5675, 5.19%, 52.34s, 0.000214
4, 19, 0.2621, 93.77%, 6.5764, 6.48%, 52.39s, 0.000205
4, 20, 0.2141, 95.14%, 6.5429, 6.85%, 52.39s, 0.000196
4, 21, 0.1730, 96.04%, 6.7715, 6.30%, 52.65s, 0.000187
4, 22, 0.1682, 96.18%, 6.9316, 5.19%, 52.08s, 0.000178
4, 23, 0.1465, 96.78%, 6.6424, 6.57%, 52.58s, 0.000169
4, 24, 0.1305, 97.20%, 6.6453, 6.02%, 52.42s, 0.000159
4, 25, 0.1133, 97.55%, 6.6012, 6.30%, 52.38s, 0.000150
4, 26, 0.1002, 97.80%, 6.7284, 7.41%, 52.50s, 0.000141
4, 27, 0.0915, 98.10%, 6.8779, 6.48%, 52.21s, 0.000131
4, 28, 0.0690, 98.82%, 6.6401, 6.76%, 52.33s, 0.000122
4, 29, 0.0647, 98.73%, 7.0364, 6.02%, 52.20s, 0.000113
4, 30, 0.0721, 98.43%, 6.8276, 6.85%, 52.48s, 0.000104
4, 31, 0.0621, 98.75%, 6.9678, 5.09%, 52.55s, 0.000095
4, 32, 0.0508, 98.98%, 6.8360, 6.20%, 52.53s, 0.000086
4, 33, 0.0522, 99.00%, 6.9569, 7.22%, 52.37s, 0.000078
4, 34, 0.0511, 99.00%, 7.0330, 5.74%, 52.42s, 0.000070
4, 35, 0.0418, 99.10%, 6.7844, 6.67%, 52.33s, 0.000062
4, 36, 0.0374, 99.28%, 6.9769, 6.39%, 52.47s, 0.000054
4, 37, 0.0399, 99.28%, 6.9041, 5.65%, 52.41s, 0.000047
4, 38, 0.0398, 99.17%, 6.9262, 6.02%, 52.41s, 0.000041
4, 39, 0.0307, 99.47%, 6.9164, 7.04%, 52.43s, 0.000034
4, 40, 0.0407, 99.03%, 7.0220, 5.74%, 52.42s, 0.000029
4, 41, 0.0290, 99.40%, 6.9391, 6.11%, 52.48s, 0.000023
4, 42, 0.0232, 99.65%, 7.0331, 6.57%, 52.35s, 0.000019
4, 43, 0.0267, 99.51%, 6.9502, 6.85%, 52.53s, 0.000014
4, 44, 0.0266, 99.49%, 6.9046, 6.39%, 52.37s, 0.000011
4, 45, 0.0252, 99.47%, 6.9352, 6.02%, 52.61s, 0.000007
4, 46, 0.0250, 99.63%, 7.0228, 6.48%, 52.37s, 0.000005
4, 47, 0.0252, 99.42%, 7.0006, 6.94%, 52.58s, 0.000003
4, 48, 0.0233, 99.47%, 6.9963, 6.39%, 52.42s, 0.000001
4, 49, 0.0214, 99.75%, 7.0613, 6.20%, 53.25s, 0.000000
4, 50, 0.0200, 99.65%, 6.9840, 6.76%, 56.45s, 0.000000
5, 1, 4.5735, 3.06%, 4.2598, 4.54%, 52.79s, 0.000300
5, 2, 4.2245, 5.86%, 4.0697, 7.04%, 52.85s, 0.000299
5, 3, 3.9891, 7.99%, 3.9319, 9.17%, 52.79s, 0.000297
5, 4, 3.8013, 11.34%, 3.8276, 13.89%, 52.73s, 0.000295
5, 5, 3.6122, 14.26%, 3.8212, 11.76%, 52.96s, 0.000293
5, 6, 3.4243, 17.18%, 3.6686, 15.83%, 53.05s, 0.000289
5, 7, 3.1985, 22.27%, 3.5156, 18.98%, 52.75s, 0.000286
5, 8, 2.9271, 26.50%, 3.4978, 19.91%, 52.83s, 0.000281
5, 9, 2.6653, 33.22%, 3.4327, 23.70%, 52.70s, 0.000277
5, 10, 2.4081, 38.43%, 3.4899, 24.35%, 52.86s, 0.000271
5, 11, 2.1066, 45.05%, 3.3499, 27.50%, 52.74s, 0.000266
5, 12, 1.7963, 53.56%, 3.4625, 28.52%, 52.91s, 0.000259
5, 13, 1.4682, 61.09%, 3.3620, 32.41%, 52.78s, 0.000253
5, 14, 1.1928, 67.80%, 3.4242, 32.41%, 53.12s, 0.000246
5, 15, 0.9633, 74.24%, 3.4103, 36.67%, 52.55s, 0.000238
5, 16, 0.7538, 80.46%, 3.4579, 37.50%, 52.96s, 0.000230
5, 17, 0.5850, 85.79%, 3.4335, 38.80%, 52.90s, 0.000222
5, 18, 0.4646, 88.54%, 3.4610, 39.07%, 52.91s, 0.000214
5, 19, 0.3749, 91.09%, 3.4651, 39.63%, 52.69s, 0.000205
5, 20, 0.3389, 91.92%, 3.5207, 39.91%, 52.86s, 0.000196
5, 21, 0.2572, 94.07%, 3.5503, 40.09%, 52.87s, 0.000187
5, 22, 0.2311, 94.98%, 3.6058, 38.89%, 52.96s, 0.000178
5, 23, 0.1955, 95.58%, 3.5915, 40.56%, 52.74s, 0.000169
