fold, epoch, train_loss, train_acc, val_loss, val_acc, time, LR
4, 11, 2.0888, 44.65%, 5.5611, 6.76%, 48.40s, 0.000266
4, 12, 1.8378, 51.44%, 5.7602, 7.22%, 48.06s, 0.000259
4, 13, 1.6052, 56.62%, 5.5072, 5.83%, 48.27s, 0.000253
4, 14, 1.3491, 64.26%, 5.8298, 7.78%, 48.02s, 0.000246
4, 15, 1.1427, 69.05%, 5.7807, 9.07%, 50.23s, 0.000238
4, 16, 0.9560, 74.63%, 6.1921, 8.70%, 54.41s, 0.000230
4, 17, 0.7551, 80.14%, 6.1105, 8.52%, 55.30s, 0.000222
4, 18, 0.6176, 83.91%, 6.0372, 10.09%, 50.94s, 0.000214
4, 19, 0.5295, 86.53%, 6.2520, 9.17%, 50.71s, 0.000205
4, 20, 0.5304, 86.44%, 6.4447, 8.61%, 50.56s, 0.000196
4, 21, 0.3811, 90.67%, 6.5127, 6.94%, 50.96s, 0.000187
4, 22, 0.3369, 92.08%, 6.2958, 9.44%, 52.61s, 0.000178
4, 23, 0.2881, 92.71%, 6.6683, 8.24%, 53.89s, 0.000169
4, 24, 0.2675, 93.01%, 6.5195, 8.15%, 53.97s, 0.000159
4, 25, 0.2415, 94.44%, 6.7526, 6.48%, 53.93s, 0.000150
4, 26, 0.2322, 94.56%, 6.4698, 6.85%, 50.97s, 0.000141
4, 27, 0.2099, 94.98%, 6.2645, 9.72%, 47.03s, 0.000131
4, 28, 0.1838, 95.60%, 6.4128, 9.17%, 46.18s, 0.000122
4, 29, 0.1689, 95.88%, 6.4968, 9.63%, 45.83s, 0.000113
4, 30, 0.1707, 95.81%, 6.6600, 8.52%, 46.02s, 0.000104
4, 31, 0.1297, 97.34%, 6.4515, 9.91%, 45.91s, 0.000095
4, 32, 0.1415, 96.44%, 6.7162, 8.61%, 45.83s, 0.000086
4, 33, 0.1174, 97.31%, 6.7080, 8.61%, 45.79s, 0.000078
4, 34, 0.1165, 97.50%, 6.5412, 9.44%, 46.23s, 0.000070
4, 35, 0.0967, 97.59%, 6.6188, 9.07%, 46.30s, 0.000062
4, 36, 0.1143, 97.15%, 6.5327, 9.63%, 46.10s, 0.000054
4, 37, 0.0965, 97.75%, 6.6499, 9.81%, 47.68s, 0.000047
4, 38, 0.0765, 98.24%, 6.6098, 8.98%, 48.18s, 0.000041
4, 39, 0.0736, 98.36%, 6.5984, 8.70%, 45.97s, 0.000034
4, 40, 0.0825, 98.17%, 6.5548, 9.54%, 46.01s, 0.000029
4, 41, 0.0754, 98.29%, 6.6377, 9.54%, 46.23s, 0.000023
4, 42, 0.0752, 98.17%, 6.6981, 9.35%, 45.95s, 0.000019
4, 43, 0.0633, 98.68%, 6.6523, 9.63%, 46.38s, 0.000014
4, 44, 0.0655, 98.43%, 6.6042, 10.00%, 46.50s, 0.000011
4, 45, 0.0601, 98.68%, 6.5829, 10.37%, 46.77s, 0.000007
4, 46, 0.0600, 98.68%, 6.6496, 10.00%, 46.54s, 0.000005
4, 47, 0.0554, 98.73%, 6.6564, 9.35%, 46.37s, 0.000003
4, 48, 0.0601, 98.52%, 6.6720, 9.17%, 46.60s, 0.000001
4, 49, 0.0502, 99.00%, 6.6264, 9.44%, 46.40s, 0.000000
4, 50, 0.0547, 98.70%, 6.6590, 9.44%, 50.86s, 0.000000
5, 1, 4.5699, 3.68%, 4.2180, 4.07%, 52.52s, 0.000300
5, 2, 4.1791, 6.30%, 3.9683, 7.96%, 51.57s, 0.000299
5, 3, 3.9567, 9.17%, 3.9042, 10.83%, 51.54s, 0.000297
5, 4, 3.7759, 11.37%, 3.7080, 14.35%, 51.84s, 0.000295
5, 5, 3.5958, 14.17%, 3.6474, 14.17%, 51.60s, 0.000293
5, 6, 3.4342, 17.04%, 3.4864, 18.33%, 52.02s, 0.000289
5, 7, 3.2376, 20.53%, 3.4815, 17.96%, 52.46s, 0.000286
5, 8, 3.0798, 23.36%, 3.4163, 22.59%, 52.40s, 0.000281
5, 9, 2.8892, 27.89%, 3.3429, 23.24%, 52.18s, 0.000277
5, 10, 2.6920, 31.74%, 3.3191, 21.85%, 52.38s, 0.000271
5, 11, 2.5368, 34.51%, 3.2152, 27.13%, 52.49s, 0.000266
5, 12, 2.3295, 39.68%, 3.2618, 29.35%, 52.68s, 0.000259
5, 13, 2.0946, 44.95%, 3.2106, 30.93%, 52.56s, 0.000253
5, 14, 1.8099, 51.64%, 3.2697, 33.06%, 52.54s, 0.000246
5, 15, 1.5788, 56.76%, 3.2421, 34.26%, 52.76s, 0.000238
5, 16, 1.3270, 63.96%, 3.2158, 38.33%, 52.70s, 0.000230
5, 17, 1.0985, 70.23%, 3.2215, 38.61%, 53.12s, 0.000222
5, 18, 0.9159, 74.98%, 3.2279, 37.96%, 55.74s, 0.000214
5, 19, 0.7559, 79.68%, 3.2022, 41.39%, 52.87s, 0.000205
5, 20, 0.6054, 84.19%, 3.1706, 42.69%, 55.27s, 0.000196
5, 21, 0.5086, 86.78%, 3.2571, 41.94%, 53.70s, 0.000187
5, 22, 0.4653, 88.24%, 3.2938, 43.43%, 54.34s, 0.000178
5, 23, 0.3524, 91.44%, 3.3396, 43.06%, 53.76s, 0.000169
5, 24, 0.3173, 92.06%, 3.3832, 41.39%, 54.09s, 0.000159
5, 25, 0.2716, 93.59%, 3.3731, 42.50%, 53.73s, 0.000150
5, 26, 0.2586, 94.03%, 3.3813, 42.96%, 54.20s, 0.000141
5, 27, 0.2226, 95.07%, 3.4008, 42.78%, 53.80s, 0.000131
5, 28, 0.1925, 95.72%, 3.3746, 44.26%, 53.45s, 0.000122
5, 29, 0.1798, 96.37%, 3.4093, 43.89%, 53.04s, 0.000113
5, 30, 0.1710, 96.23%, 3.4099, 44.26%, 55.45s, 0.000104
5, 31, 0.1587, 96.30%, 3.4090, 43.70%, 52.20s, 0.000095
5, 32, 0.1514, 96.57%, 3.4350, 44.26%, 52.29s, 0.000086
5, 33, 0.1285, 97.18%, 3.4515, 43.61%, 52.08s, 0.000078
5, 34, 0.1119, 97.75%, 3.4157, 43.15%, 52.22s, 0.000070
5, 35, 0.1055, 97.73%, 3.4004, 44.35%, 51.89s, 0.000062
5, 36, 0.1098, 97.55%, 3.4567, 44.26%, 52.24s, 0.000054
5, 37, 0.0908, 98.24%, 3.4440, 44.63%, 52.05s, 0.000047
5, 38, 0.1003, 97.80%, 3.4694, 44.81%, 52.32s, 0.000041
5, 39, 0.0790, 98.33%, 3.4467, 44.72%, 51.66s, 0.000034
5, 40, 0.0721, 98.63%, 3.4595, 44.44%, 51.53s, 0.000029
5, 41, 0.0712, 98.50%, 3.4572, 44.72%, 51.59s, 0.000023
5, 42, 0.0729, 98.38%, 3.4784, 44.17%, 51.49s, 0.000019
5, 43, 0.0681, 98.54%, 3.4621, 43.98%, 52.21s, 0.000014
5, 44, 0.0588, 98.91%, 3.4616, 44.44%, 51.80s, 0.000011
5, 45, 0.0603, 98.70%, 3.4532, 44.54%, 51.97s, 0.000007
5, 46, 0.0636, 98.82%, 3.4718, 44.44%, 51.72s, 0.000005
5, 47, 0.0525, 98.96%, 3.4633, 44.81%, 51.97s, 0.000003
5, 48, 0.0644, 98.61%, 3.4653, 44.91%, 51.78s, 0.000001
5, 49, 0.0555, 98.98%, 3.4657, 44.81%, 51.51s, 0.000000
5, 50, 0.0497, 98.98%, 3.4659, 44.81%, 52.60s, 0.000000
